timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721158491242,48528,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158491244,5831,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158491244,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158492246,48640,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158492246,258,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158492246,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158493247,48622,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158493247,779,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158493247,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158494260,48537,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158494260,266,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158494260,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158495265,48530,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158495265,523,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158495265,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158496280,48565,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158496280,652,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158496280,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158497280,48564,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158497280,385,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158497280,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158498294,48563,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158498294,376,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158498294,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158499295,48561,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158499295,392,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158499295,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158500309,48561,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158500309,394,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158500309,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158501322,48555,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158501322,762,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158501322,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158502335,48565,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158502335,262,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158502335,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158503336,48544,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158503336,763,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158503336,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158504337,48551,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158504337,766,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158504337,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158505350,48567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158505350,525,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158505350,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158506364,48566,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158506364,902,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158506364,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158507377,48565,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158507378,391,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158507378,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158508392,48571,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158508392,1141,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158508392,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158509403,48615,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158509403,1156,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158509403,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721158510414,48610,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721158510414,123,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721158510414,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
