timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721073021003,49204,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073021003,18363,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073021003,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073022017,50325,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073022017,20597,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073022017,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073023026,50365,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073023026,7719,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073023026,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073024031,50667,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073024031,5126,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073024031,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073025046,50576,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073025046,1295,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073025046,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073026056,50575,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073026056,383,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073026056,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073027071,50554,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073027071,648,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073027071,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073028074,50572,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073028074,782,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073028074,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073029076,50571,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073029076,635,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073029076,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073030088,50508,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073030088,248,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073030088,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073031096,50505,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073031096,254,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073031096,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073032110,50503,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073032110,124,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073032110,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073033124,50499,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073033124,131,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073033124,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1721073034127,50500,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1721073034127,649,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1721073034127,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
